Flight_ID,Airline,Departure_City,Arrival_City,Departure_Time,Arrival_Time,Flight_Type,Aircraft_Type,Seats_Available,Price,Meal_Option,Flight_Status,Gate_Number,Gate_Type,Duration (hrs),Baggage_Allowance,Cancellation_Policy,Seat_Class,WiFi_Available,Entertainment_Options,Loyalty_Points_Earned,Layovers,Boarding_Group,Eco_Friendly_Flight,Crew_Language_Support,Inflight_Services,Seat_Availability,Ticket_Flexibility,Discounts_Available,Customer_Rating
536,American,Boston,San Francisco,08:00 PM,06:00 PM,Domestic,Airbus A350,30,721,Vegan,Delayed,3,Domestic,7.4,20kg,Fully Refundable,First Class,No,Games,798,3+ Stops,Group B,Yes,Multilingual,None,Limited Availability,Fully Flexible,None,4.5
537,Southwest,Phoenix,Washington D.C.,06:00 AM,10:00 AM,Domestic,Boeing 737,7,784,Vegan,On Time,46,Domestic,7.5,Unlimited,Fully Refundable,Premium Economy,No,Games,4790,2 Stops,Group D,No,Chinese,Complimentary Drinks,Limited Availability,Fully Flexible,Senior Citizen Discount,4.1
538,JetBlue,San Francisco,Washington D.C.,10:00 AM,06:00 PM,International,Boeing 737,30,133,Vegetarian,On Time,42,International,7.4,25kg,Non-refundable,Economy,No,Games,1236,1 Stop,Group B,Yes,Spanish,Complimentary Drinks,Fully Booked,Non-Changeable,Frequent Flyer Discount,3.7
539,Alaska Airlines,Chicago,Miami,08:00 PM,02:00 PM,Domestic,Boeing 737,15,385,Gluten-Free,Cancelled,5,Domestic,8.8,20kg,Non-refundable,Premium Economy,Yes,Games,4763,None,Group B,Yes,French,Sleep Kit,Fully Booked,Fully Flexible,None,4.0
540,United,Seattle,Houston,06:00 AM,12:00 PM,Domestic,Embraer E190,16,399,None,On Time,26,Domestic,3.1,30kg,Non-refundable,First Class,Yes,Movies & TV,909,1 Stop,Group B,No,Chinese,None,Fully Booked,Changeable with Fee,Student Discount,4.0
541,JetBlue,Atlanta,Houston,04:00 PM,08:00 AM,Domestic,Airbus A350,8,251,Non-Vegetarian,Cancelled,47,Domestic,3.6,20kg,Fully Refundable,Premium Economy,Yes,None,3971,1 Stop,Group D,Yes,English,Priority Boarding,Available,Fully Flexible,None,5.0
542,Delta,Phoenix,Charlotte,12:00 PM,04:00 PM,International,Embraer E190,17,132,None,Cancelled,21,International,9.7,20kg,Non-refundable,First Class,Yes,Music,2843,3+ Stops,Group C,No,English,Sleep Kit,Fully Booked,Fully Flexible,None,3.3
543,Spirit,Phoenix,New York,10:00 AM,12:00 PM,Domestic,Boeing 737,29,548,Non-Vegetarian,On Time,21,Domestic,5.2,30kg,Non-refundable,Premium Economy,Yes,Movies & TV,4670,3+ Stops,Group D,No,Multilingual,None,Limited Availability,Changeable with Fee,None,4.4
544,Southwest,Dallas,Denver,02:00 PM,08:00 PM,Domestic,Airbus A350,30,367,None,Delayed,44,Domestic,5.6,Unlimited,Fully Refundable,Premium Economy,No,Movies & TV,1597,3+ Stops,Group A,No,French,Sleep Kit,Limited Availability,Changeable with Fee,Military Discount,3.3
545,United,Houston,San Francisco,08:00 AM,08:00 AM,International,Boeing 737,20,531,Vegan,On Time,27,International,3.6,25kg,Non-refundable,Economy,No,Games,2035,1 Stop,Group B,Yes,French,Priority Boarding,Fully Booked,Fully Flexible,None,4.7
546,Spirit,Miami,New York,04:00 PM,02:00 PM,Domestic,Embraer E190,22,596,Gluten-Free,On Time,40,Domestic,6.2,15kg,Fully Refundable,Business,No,Music,895,None,Group C,No,English,Complimentary Drinks,Available,Changeable with Fee,None,3.3
547,United,Orlando,Houston,08:00 AM,02:00 PM,Domestic,Embraer E190,9,375,Vegetarian,Cancelled,2,Domestic,8.7,30kg,Refundable with Fee,Business,Yes,Games,3671,2 Stops,Group D,Yes,Chinese,Complimentary Drinks,Limited Availability,Fully Flexible,Senior Citizen Discount,5.0
548,Delta,Denver,Las Vegas,08:00 PM,08:00 AM,Domestic,Airbus A350,14,410,Vegan,Cancelled,7,Domestic,3.1,15kg,Fully Refundable,Economy,Yes,None,3631,2 Stops,Group A,Yes,Multilingual,Complimentary Drinks,Fully Booked,Changeable with Fee,Student Discount,4.3
549,Delta,Orlando,Houston,02:00 PM,10:00 AM,International,Airbus A320,24,401,Vegan,Cancelled,13,International,10.0,25kg,Fully Refundable,Premium Economy,No,Music,2855,None,Group A,Yes,Chinese,Complimentary Drinks,Limited Availability,Changeable with Fee,Student Discount,3.5
550,JetBlue,Seattle,Houston,08:00 AM,08:00 PM,International,Boeing 737,8,179,Non-Vegetarian,On Time,34,International,8.1,30kg,Non-refundable,Premium Economy,Yes,Music,1379,1 Stop,Group D,No,Chinese,None,Available,Fully Flexible,Senior Citizen Discount,5.0
551,Alaska Airlines,Boston,Los Angeles,06:00 AM,08:00 AM,International,Embraer E190,11,356,Vegetarian,On Time,26,Domestic,4.5,Unlimited,Fully Refundable,Business,No,Music,4745,1 Stop,Group A,No,Chinese,Priority Boarding,Limited Availability,Fully Flexible,Military Discount,3.6
552,Delta,Boston,Las Vegas,08:00 AM,12:00 PM,International,Airbus A350,29,785,Vegan,Delayed,35,International,9.6,20kg,Fully Refundable,Economy,No,Music,4573,1 Stop,Group C,Yes,Multilingual,Sleep Kit,Fully Booked,Changeable with Fee,Frequent Flyer Discount,4.8
553,Delta,Phoenix,Orlando,06:00 AM,10:00 AM,International,Embraer E190,16,706,Vegetarian,On Time,27,Domestic,11.9,20kg,Fully Refundable,First Class,Yes,None,2325,None,Group A,No,Spanish,None,Limited Availability,Non-Changeable,None,4.4
554,Delta,Chicago,Denver,12:00 PM,10:00 AM,International,Boeing 737,17,391,Non-Vegetarian,On Time,25,Domestic,3.9,25kg,Refundable with Fee,Economy,No,None,2723,1 Stop,Group C,Yes,Multilingual,Priority Boarding,Fully Booked,Changeable with Fee,Frequent Flyer Discount,4.7
555,United,Orlando,Charlotte,08:00 AM,04:00 PM,International,Airbus A350,22,353,Gluten-Free,On Time,31,Domestic,4.1,20kg,Non-refundable,First Class,Yes,Games,593,3+ Stops,Group D,Yes,Multilingual,Complimentary Drinks,Fully Booked,Changeable with Fee,Military Discount,3.0
556,JetBlue,New York,Phoenix,10:00 AM,04:00 PM,Domestic,Boeing 777,25,359,Vegetarian,On Time,35,Domestic,4.0,20kg,Non-refundable,Economy,No,Music,2396,1 Stop,Group D,Yes,Spanish,Complimentary Drinks,Limited Availability,Fully Flexible,Student Discount,4.8
557,Southwest,Dallas,San Francisco,02:00 PM,06:00 PM,Domestic,Boeing 737,26,124,Gluten-Free,On Time,3,Domestic,10.6,15kg,Non-refundable,Business,No,Movies & TV,4995,None,Group B,Yes,French,Priority Boarding,Limited Availability,Changeable with Fee,Senior Citizen Discount,3.8
558,United,Miami,Denver,04:00 PM,08:00 AM,International,Boeing 737,14,379,Non-Vegetarian,Delayed,15,International,9.0,30kg,Fully Refundable,Premium Economy,No,Music,4775,None,Group C,No,Multilingual,Complimentary Drinks,Fully Booked,Changeable with Fee,Frequent Flyer Discount,4.3
559,Delta,Charlotte,Chicago,06:00 AM,12:00 PM,International,Airbus A350,19,230,None,Cancelled,24,Domestic,8.1,25kg,Non-refundable,Business,No,Games,755,3+ Stops,Group A,Yes,Spanish,Priority Boarding,Fully Booked,Changeable with Fee,Military Discount,3.8
560,American,Phoenix,Seattle,12:00 PM,10:00 AM,Domestic,Airbus A320,7,261,Non-Vegetarian,On Time,3,International,9.3,20kg,Refundable with Fee,First Class,Yes,None,1649,2 Stops,Group D,Yes,Multilingual,Sleep Kit,Available,Non-Changeable,None,3.4
561,Frontier,Los Angeles,Phoenix,08:00 PM,12:00 PM,International,Airbus A350,12,231,None,On Time,31,Domestic,7.9,Unlimited,Fully Refundable,Premium Economy,Yes,None,584,3+ Stops,Group C,Yes,Multilingual,Complimentary Drinks,Limited Availability,Fully Flexible,Frequent Flyer Discount,4.6
562,Spirit,Boston,Dallas,04:00 PM,06:00 AM,Domestic,Boeing 737,7,614,Vegetarian,Cancelled,17,Domestic,4.8,15kg,Non-refundable,Economy,No,Games,4913,2 Stops,Group A,Yes,Multilingual,Sleep Kit,Fully Booked,Non-Changeable,Military Discount,4.3
563,Delta,San Francisco,Orlando,06:00 AM,06:00 AM,International,Boeing 737,11,230,None,On Time,6,International,3.4,Unlimited,Fully Refundable,First Class,Yes,Games,4648,1 Stop,Group D,No,English,Extra Legroom,Fully Booked,Non-Changeable,Senior Citizen Discount,3.8
564,United,Orlando,Denver,08:00 AM,08:00 PM,Domestic,Boeing 737,8,653,None,On Time,6,Domestic,10.3,25kg,Refundable with Fee,First Class,No,Movies & TV,2810,2 Stops,Group C,No,Chinese,None,Limited Availability,Fully Flexible,Student Discount,3.9
565,Delta,Washington D.C.,Los Angeles,04:00 PM,08:00 PM,Domestic,Boeing 737,14,645,Vegan,On Time,17,Domestic,5.3,Unlimited,Fully Refundable,First Class,No,Music,2944,1 Stop,Group B,Yes,Multilingual,Complimentary Drinks,Available,Non-Changeable,None,4.7
566,Southwest,New York,Las Vegas,06:00 PM,10:00 AM,Domestic,Boeing 737,10,264,Vegetarian,Cancelled,19,International,3.1,25kg,Fully Refundable,Premium Economy,Yes,Games,4735,None,Group C,No,English,Complimentary Drinks,Available,Non-Changeable,Military Discount,4.1
567,Southwest,Dallas,Phoenix,12:00 PM,04:00 PM,Domestic,Airbus A320,28,471,Vegetarian,Cancelled,8,Domestic,11.8,30kg,Fully Refundable,Premium Economy,Yes,Music,2839,2 Stops,Group C,Yes,French,Sleep Kit,Fully Booked,Non-Changeable,Senior Citizen Discount,3.8
568,Spirit,Las Vegas,Chicago,04:00 PM,06:00 AM,International,Embraer E190,12,730,Vegan,Cancelled,40,Domestic,4.5,30kg,Refundable with Fee,Business,No,Movies & TV,4633,1 Stop,Group C,No,French,Priority Boarding,Available,Fully Flexible,Student Discount,4.2
569,Southwest,Miami,Atlanta,10:00 AM,08:00 PM,International,Embraer E190,19,682,Gluten-Free,Cancelled,20,Domestic,2.8,25kg,Non-refundable,First Class,No,Music,2615,1 Stop,Group C,No,English,Priority Boarding,Available,Changeable with Fee,Military Discount,3.4
570,Alaska Airlines,Washington D.C.,San Francisco,12:00 PM,04:00 PM,International,Airbus A320,20,119,Non-Vegetarian,Cancelled,34,Domestic,6.8,Unlimited,Refundable with Fee,Economy,No,Music,3470,1 Stop,Group D,No,English,Priority Boarding,Fully Booked,Fully Flexible,Frequent Flyer Discount,3.8
571,American,Dallas,Seattle,06:00 PM,08:00 AM,Domestic,Boeing 737,8,183,Non-Vegetarian,Cancelled,2,International,5.6,Unlimited,Fully Refundable,Economy,No,Games,710,1 Stop,Group D,Yes,English,Priority Boarding,Available,Changeable with Fee,Frequent Flyer Discount,3.8
572,Frontier,Seattle,Charlotte,08:00 AM,10:00 AM,Domestic,Boeing 737,20,179,None,Cancelled,14,International,2.9,15kg,Fully Refundable,Business,Yes,Games,3622,3+ Stops,Group A,Yes,English,Priority Boarding,Fully Booked,Fully Flexible,Military Discount,4.4
573,United,New York,New York,06:00 AM,06:00 PM,Domestic,Boeing 737,26,179,None,Cancelled,38,International,3.9,15kg,Fully Refundable,Premium Economy,Yes,Games,2887,2 Stops,Group C,No,English,None,Fully Booked,Changeable with Fee,Military Discount,4.4
574,American,Miami,Las Vegas,06:00 AM,08:00 PM,Domestic,Boeing 777,27,560,Gluten-Free,Delayed,38,Domestic,3.4,30kg,Fully Refundable,Business,Yes,Music,2094,None,Group A,No,Multilingual,Priority Boarding,Fully Booked,Changeable with Fee,Student Discount,4.9
575,Delta,Boston,Washington D.C.,02:00 PM,02:00 PM,Domestic,Airbus A350,26,688,Vegetarian,Delayed,43,International,4.2,Unlimited,Non-refundable,Economy,No,Games,4561,1 Stop,Group B,Yes,Chinese,Priority Boarding,Limited Availability,Fully Flexible,Frequent Flyer Discount,5.0
576,JetBlue,Dallas,Denver,08:00 PM,06:00 AM,International,Airbus A320,15,455,None,Delayed,47,Domestic,11.1,20kg,Fully Refundable,First Class,Yes,Movies & TV,4212,None,Group B,Yes,Chinese,Priority Boarding,Limited Availability,Fully Flexible,Senior Citizen Discount,3.8
577,Alaska Airlines,Seattle,San Francisco,10:00 AM,04:00 PM,Domestic,Embraer E190,10,415,Gluten-Free,Delayed,43,Domestic,5.2,15kg,Fully Refundable,Economy,No,Movies & TV,3265,1 Stop,Group D,No,Chinese,Priority Boarding,Available,Non-Changeable,Military Discount,5.0
578,United,Seattle,Los Angeles,12:00 PM,02:00 PM,International,Boeing 777,15,340,Vegan,On Time,26,International,2.4,20kg,Fully Refundable,Business,No,Music,4971,None,Group A,No,French,Sleep Kit,Limited Availability,Non-Changeable,Military Discount,4.5
579,American,Phoenix,Houston,02:00 PM,02:00 PM,International,Airbus A320,14,181,None,On Time,27,International,2.0,25kg,Fully Refundable,Premium Economy,Yes,Music,2191,3+ Stops,Group D,No,Chinese,Complimentary Drinks,Fully Booked,Non-Changeable,Senior Citizen Discount,4.6
580,United,Charlotte,Chicago,06:00 PM,06:00 AM,Domestic,Boeing 777,5,517,Vegetarian,On Time,47,Domestic,9.3,30kg,Refundable with Fee,Economy,No,Movies & TV,4706,None,Group C,No,French,None,Fully Booked,Changeable with Fee,Frequent Flyer Discount,3.1
581,United,Chicago,Los Angeles,08:00 AM,12:00 PM,Domestic,Embraer E190,22,796,Non-Vegetarian,Cancelled,30,Domestic,3.3,30kg,Fully Refundable,Premium Economy,No,None,3396,3+ Stops,Group D,Yes,Chinese,Complimentary Drinks,Available,Changeable with Fee,Student Discount,4.7
582,Frontier,Denver,Orlando,02:00 PM,10:00 AM,International,Boeing 777,26,326,Vegan,Cancelled,5,Domestic,9.1,25kg,Fully Refundable,Business,Yes,None,4670,3+ Stops,Group B,No,French,Complimentary Drinks,Available,Changeable with Fee,Military Discount,3.6
583,Alaska Airlines,Boston,New York,04:00 PM,04:00 PM,International,Airbus A320,15,539,None,On Time,50,Domestic,4.1,15kg,Fully Refundable,Economy,No,None,2325,1 Stop,Group A,Yes,Multilingual,Extra Legroom,Fully Booked,Fully Flexible,None,4.8
584,American,Charlotte,Dallas,12:00 PM,06:00 AM,Domestic,Airbus A350,29,159,Vegan,Cancelled,43,International,3.3,25kg,Fully Refundable,Business,No,None,4434,1 Stop,Group C,Yes,French,Complimentary Drinks,Available,Non-Changeable,Military Discount,4.1
585,Delta,Atlanta,Washington D.C.,06:00 PM,06:00 PM,Domestic,Airbus A320,11,386,Non-Vegetarian,Delayed,45,International,9.5,Unlimited,Fully Refundable,Business,Yes,Music,4044,1 Stop,Group C,No,Multilingual,Complimentary Drinks,Limited Availability,Non-Changeable,Frequent Flyer Discount,3.4
586,Southwest,Chicago,Atlanta,12:00 PM,06:00 PM,International,Airbus A350,9,168,Vegetarian,Cancelled,27,International,6.5,15kg,Non-refundable,Business,Yes,Games,2610,None,Group B,No,Multilingual,Extra Legroom,Limited Availability,Non-Changeable,Senior Citizen Discount,3.3
587,Southwest,Denver,Chicago,08:00 PM,08:00 AM,International,Boeing 737,22,172,Non-Vegetarian,Delayed,6,Domestic,6.8,Unlimited,Fully Refundable,Business,Yes,None,3633,3+ Stops,Group A,No,English,Complimentary Drinks,Available,Changeable with Fee,Student Discount,4.6
588,United,Atlanta,Las Vegas,12:00 PM,08:00 PM,International,Boeing 737,17,269,Vegan,Cancelled,45,International,4.9,Unlimited,Fully Refundable,Premium Economy,No,None,2232,2 Stops,Group A,No,Spanish,Sleep Kit,Limited Availability,Fully Flexible,Military Discount,3.9
589,Spirit,Seattle,New York,08:00 AM,08:00 AM,International,Airbus A320,25,794,Non-Vegetarian,Delayed,36,Domestic,9.4,30kg,Refundable with Fee,Economy,No,Movies & TV,970,1 Stop,Group D,No,Multilingual,Extra Legroom,Fully Booked,Fully Flexible,Military Discount,4.5
590,American,Houston,Houston,06:00 PM,10:00 AM,Domestic,Airbus A350,12,577,Vegan,Delayed,15,Domestic,6.0,20kg,Non-refundable,First Class,No,None,1502,3+ Stops,Group B,No,Multilingual,Extra Legroom,Available,Changeable with Fee,Senior Citizen Discount,4.4
591,Frontier,Chicago,Seattle,06:00 PM,12:00 PM,Domestic,Embraer E190,14,305,Gluten-Free,On Time,23,International,5.6,25kg,Non-refundable,Premium Economy,Yes,Music,4573,3+ Stops,Group D,No,English,Complimentary Drinks,Available,Changeable with Fee,Frequent Flyer Discount,4.2
592,United,Chicago,Dallas,02:00 PM,08:00 PM,International,Airbus A320,13,117,Non-Vegetarian,Delayed,26,International,8.6,Unlimited,Non-refundable,Premium Economy,No,Games,3690,1 Stop,Group A,No,Spanish,Extra Legroom,Fully Booked,Changeable with Fee,Frequent Flyer Discount,4.3
593,Southwest,Houston,Boston,08:00 PM,04:00 PM,Domestic,Airbus A350,30,768,Vegetarian,Delayed,38,Domestic,2.1,30kg,Fully Refundable,Economy,No,None,3946,1 Stop,Group D,Yes,Multilingual,Complimentary Drinks,Available,Fully Flexible,Senior Citizen Discount,4.8
594,Delta,Las Vegas,Phoenix,06:00 PM,06:00 AM,International,Airbus A350,26,266,Vegan,Cancelled,15,International,1.4,15kg,Fully Refundable,Premium Economy,Yes,None,3428,2 Stops,Group C,Yes,French,Extra Legroom,Available,Changeable with Fee,Frequent Flyer Discount,4.4
595,United,Los Angeles,New York,02:00 PM,12:00 PM,Domestic,Airbus A320,25,655,Gluten-Free,Cancelled,36,Domestic,2.3,15kg,Non-refundable,Economy,No,Games,3750,None,Group C,No,French,Extra Legroom,Fully Booked,Changeable with Fee,Senior Citizen Discount,3.6
596,JetBlue,Chicago,Washington D.C.,08:00 PM,06:00 AM,International,Boeing 737,9,756,Vegan,Cancelled,11,Domestic,5.4,20kg,Fully Refundable,Business,No,Music,4707,None,Group D,Yes,English,Complimentary Drinks,Limited Availability,Changeable with Fee,None,3.1
597,Frontier,New York,Denver,04:00 PM,12:00 PM,International,Boeing 777,20,241,None,Cancelled,49,Domestic,2.7,15kg,Non-refundable,Business,Yes,Music,3011,None,Group B,No,French,Extra Legroom,Fully Booked,Non-Changeable,Frequent Flyer Discount,4.9
598,American,Houston,New York,04:00 PM,10:00 AM,International,Airbus A350,14,171,Vegan,On Time,33,Domestic,9.1,25kg,Non-refundable,Premium Economy,Yes,Games,2712,2 Stops,Group A,Yes,French,Extra Legroom,Fully Booked,Non-Changeable,Frequent Flyer Discount,4.1
599,Frontier,Denver,Chicago,06:00 AM,02:00 PM,Domestic,Airbus A350,10,700,Vegan,On Time,41,Domestic,10.1,15kg,Refundable with Fee,Economy,No,None,1866,2 Stops,Group A,No,French,Priority Boarding,Fully Booked,Changeable with Fee,None,4.4
600,Spirit,Orlando,Denver,12:00 PM,12:00 PM,Domestic,Airbus A350,7,739,Vegan,Delayed,26,Domestic,4.0,Unlimited,Fully Refundable,Business,Yes,Games,1355,1 Stop,Group D,No,French,Priority Boarding,Available,Non-Changeable,Student Discount,3.6
601,JetBlue,Houston,Dallas,12:00 PM,12:00 PM,Domestic,Boeing 737,23,262,Vegetarian,On Time,10,Domestic,7.3,20kg,Fully Refundable,Economy,No,Music,3337,None,Group B,No,English,Priority Boarding,Available,Fully Flexible,None,4.4
602,American,Chicago,Los Angeles,06:00 PM,06:00 AM,Domestic,Embraer E190,15,144,None,Cancelled,45,International,7.6,15kg,Refundable with Fee,Business,Yes,Movies & TV,2974,2 Stops,Group B,Yes,Multilingual,None,Available,Fully Flexible,Military Discount,4.7
603,Alaska Airlines,Los Angeles,Washington D.C.,06:00 AM,12:00 PM,International,Boeing 737,28,230,Non-Vegetarian,Delayed,39,International,10.8,15kg,Non-refundable,Business,No,Games,4988,None,Group C,No,English,None,Limited Availability,Fully Flexible,None,3.6
604,Delta,Houston,Los Angeles,02:00 PM,10:00 AM,Domestic,Airbus A350,6,456,Gluten-Free,Cancelled,4,Domestic,6.7,Unlimited,Fully Refundable,Economy,Yes,None,3062,2 Stops,Group A,No,Spanish,Priority Boarding,Available,Changeable with Fee,None,3.6
605,Alaska Airlines,Orlando,Miami,04:00 PM,08:00 AM,Domestic,Boeing 737,15,293,Non-Vegetarian,Delayed,10,International,8.1,Unlimited,Non-refundable,Premium Economy,No,Music,2011,2 Stops,Group B,No,Spanish,Priority Boarding,Fully Booked,Fully Flexible,Student Discount,3.7
606,Alaska Airlines,Miami,Denver,02:00 PM,12:00 PM,Domestic,Airbus A350,16,141,Gluten-Free,Cancelled,43,Domestic,9.7,Unlimited,Non-refundable,Premium Economy,No,Movies & TV,3415,2 Stops,Group B,No,English,Priority Boarding,Fully Booked,Changeable with Fee,None,4.9
607,Delta,Houston,Orlando,10:00 AM,08:00 PM,International,Embraer E190,8,777,Non-Vegetarian,Cancelled,34,International,11.0,15kg,Non-refundable,First Class,No,Games,1979,None,Group B,No,Multilingual,Complimentary Drinks,Limited Availability,Changeable with Fee,Student Discount,3.0
608,Delta,Seattle,Atlanta,10:00 AM,12:00 PM,Domestic,Boeing 777,11,221,None,Delayed,12,Domestic,7.5,20kg,Refundable with Fee,First Class,No,None,1056,3+ Stops,Group D,Yes,Multilingual,Priority Boarding,Available,Fully Flexible,Senior Citizen Discount,3.9
609,Alaska Airlines,Miami,Charlotte,08:00 AM,04:00 PM,Domestic,Embraer E190,9,126,Vegetarian,Delayed,45,Domestic,2.5,15kg,Refundable with Fee,Premium Economy,No,Games,1031,2 Stops,Group A,No,Multilingual,Sleep Kit,Fully Booked,Non-Changeable,Senior Citizen Discount,3.8
610,Frontier,San Francisco,Phoenix,10:00 AM,02:00 PM,International,Embraer E190,21,312,Vegan,Delayed,12,Domestic,3.5,Unlimited,Refundable with Fee,Business,Yes,Movies & TV,1502,1 Stop,Group C,No,French,Priority Boarding,Fully Booked,Fully Flexible,None,4.3
611,Alaska Airlines,Phoenix,Phoenix,06:00 AM,06:00 AM,Domestic,Boeing 777,6,385,Vegan,Cancelled,9,Domestic,11.1,15kg,Refundable with Fee,Business,Yes,None,2868,3+ Stops,Group B,Yes,Spanish,Complimentary Drinks,Fully Booked,Fully Flexible,None,4.4
612,Frontier,Boston,Houston,10:00 AM,04:00 PM,Domestic,Boeing 777,19,299,Vegetarian,On Time,1,International,7.6,30kg,Non-refundable,Economy,No,Music,4141,None,Group C,Yes,French,Complimentary Drinks,Fully Booked,Changeable with Fee,Senior Citizen Discount,3.0
613,JetBlue,Denver,Charlotte,02:00 PM,06:00 AM,Domestic,Airbus A320,5,408,Vegan,Cancelled,47,Domestic,1.8,15kg,Refundable with Fee,Economy,Yes,Music,2387,1 Stop,Group B,No,Chinese,Extra Legroom,Limited Availability,Non-Changeable,Frequent Flyer Discount,4.7
614,American,Charlotte,Houston,10:00 AM,04:00 PM,Domestic,Airbus A320,27,514,Vegan,On Time,50,International,2.9,15kg,Non-refundable,First Class,No,None,624,None,Group B,No,Multilingual,Priority Boarding,Limited Availability,Changeable with Fee,None,4.1
615,Delta,Los Angeles,Chicago,08:00 AM,08:00 PM,International,Airbus A350,12,522,Vegan,Cancelled,22,International,8.2,30kg,Fully Refundable,Premium Economy,Yes,Games,2669,3+ Stops,Group B,No,English,Priority Boarding,Limited Availability,Non-Changeable,None,3.5
616,Alaska Airlines,Las Vegas,Chicago,12:00 PM,06:00 AM,International,Boeing 737,20,328,Vegetarian,Cancelled,34,International,8.6,25kg,Fully Refundable,Business,Yes,None,2002,3+ Stops,Group B,Yes,Spanish,Sleep Kit,Limited Availability,Changeable with Fee,Student Discount,4.3
617,Spirit,Atlanta,Charlotte,08:00 AM,12:00 PM,International,Embraer E190,17,204,Vegetarian,Cancelled,21,Domestic,3.1,20kg,Refundable with Fee,Business,No,Games,3531,2 Stops,Group A,Yes,Multilingual,Priority Boarding,Available,Changeable with Fee,Senior Citizen Discount,3.5
618,Southwest,Washington D.C.,Orlando,12:00 PM,06:00 AM,International,Boeing 777,14,404,Vegan,Delayed,6,Domestic,8.7,Unlimited,Non-refundable,Premium Economy,No,Games,4780,3+ Stops,Group C,No,French,Extra Legroom,Available,Non-Changeable,Military Discount,4.0
619,JetBlue,San Francisco,Atlanta,08:00 PM,04:00 PM,International,Boeing 777,19,472,Non-Vegetarian,Delayed,15,Domestic,9.8,25kg,Refundable with Fee,First Class,No,None,2716,None,Group B,Yes,English,None,Fully Booked,Fully Flexible,Frequent Flyer Discount,4.3
620,Frontier,San Francisco,New York,08:00 PM,06:00 PM,Domestic,Boeing 777,15,635,None,On Time,4,International,11.3,Unlimited,Fully Refundable,First Class,No,Movies & TV,1687,3+ Stops,Group C,No,French,Extra Legroom,Limited Availability,Non-Changeable,Frequent Flyer Discount,4.5
621,American,Phoenix,Denver,06:00 PM,06:00 AM,Domestic,Airbus A350,26,217,Vegetarian,Cancelled,10,International,7.2,Unlimited,Non-refundable,Premium Economy,Yes,None,1383,2 Stops,Group D,No,Spanish,Priority Boarding,Fully Booked,Changeable with Fee,Military Discount,3.0
622,Frontier,Atlanta,Dallas,06:00 AM,06:00 AM,Domestic,Airbus A350,21,348,Gluten-Free,Delayed,2,International,7.7,15kg,Fully Refundable,Premium Economy,No,Music,1149,2 Stops,Group B,Yes,English,Sleep Kit,Available,Non-Changeable,Frequent Flyer Discount,4.7
623,Spirit,Chicago,Dallas,12:00 PM,06:00 PM,International,Boeing 737,10,383,Non-Vegetarian,Delayed,42,Domestic,9.3,25kg,Fully Refundable,First Class,No,Games,4837,1 Stop,Group C,Yes,English,Extra Legroom,Limited Availability,Fully Flexible,Military Discount,3.5
624,JetBlue,Denver,Houston,06:00 PM,06:00 AM,Domestic,Boeing 777,28,733,None,Cancelled,11,Domestic,3.8,Unlimited,Fully Refundable,Economy,Yes,Movies & TV,2917,3+ Stops,Group B,Yes,Multilingual,Complimentary Drinks,Fully Booked,Changeable with Fee,Student Discount,4.1
625,Spirit,Orlando,Dallas,06:00 AM,06:00 AM,International,Boeing 737,23,764,Vegan,Delayed,40,Domestic,4.1,Unlimited,Refundable with Fee,Economy,No,None,3688,3+ Stops,Group A,No,English,Sleep Kit,Fully Booked,Non-Changeable,Student Discount,4.2
626,Delta,Phoenix,Seattle,12:00 PM,12:00 PM,Domestic,Boeing 737,9,595,Vegetarian,Cancelled,41,International,7.1,30kg,Fully Refundable,Premium Economy,Yes,Music,1436,1 Stop,Group C,No,Chinese,Extra Legroom,Limited Availability,Changeable with Fee,None,4.4
627,Spirit,Las Vegas,Seattle,12:00 PM,04:00 PM,Domestic,Airbus A320,25,169,Gluten-Free,Cancelled,23,International,10.5,15kg,Refundable with Fee,Business,Yes,Movies & TV,1436,1 Stop,Group A,Yes,English,Sleep Kit,Limited Availability,Non-Changeable,Military Discount,4.3
628,Frontier,Miami,New York,10:00 AM,06:00 AM,International,Embraer E190,5,758,Gluten-Free,Cancelled,13,Domestic,1.3,30kg,Non-refundable,Economy,No,None,4247,3+ Stops,Group C,No,Spanish,None,Limited Availability,Non-Changeable,Military Discount,3.6
629,American,Denver,Houston,02:00 PM,12:00 PM,International,Airbus A350,15,781,Gluten-Free,Delayed,4,Domestic,10.9,25kg,Refundable with Fee,First Class,Yes,None,4210,1 Stop,Group C,Yes,English,Sleep Kit,Limited Availability,Non-Changeable,Student Discount,4.1
630,Alaska Airlines,New York,Atlanta,08:00 AM,02:00 PM,Domestic,Boeing 737,26,180,Gluten-Free,On Time,26,International,11.9,15kg,Refundable with Fee,Premium Economy,Yes,Movies & TV,4148,3+ Stops,Group B,Yes,Chinese,Complimentary Drinks,Limited Availability,Changeable with Fee,Student Discount,3.7
631,United,Chicago,New York,08:00 PM,04:00 PM,International,Boeing 737,21,483,Gluten-Free,On Time,25,Domestic,9.8,25kg,Non-refundable,First Class,Yes,Movies & TV,3057,3+ Stops,Group D,No,French,None,Fully Booked,Fully Flexible,Frequent Flyer Discount,3.6
